scene,sisdr_enhance,sisdr_mixture,pesq_enhance,pesq_mixture,stoi_enhance,stoi_mixture,haspi_enhance,haspi_mixture,hasqi_enhance,hasqi_mixture
S01098,6.620733141899109,-7.044732570648193,0,0,0.799945128517691,0.4915922790981407,0.008495316,0.008177957,0.0038010867,0.011623275
S01345,2.0810799300670624,-8.842202425003052,0,0,0.7498102934868625,0.6396197427204882,0.00602625,0.004364824,0.0032761833,0.0021210357
S05981,0.9144246578216553,-10.233198404312134,0,0,0.6759212502770219,0.49680563267082295,0.008849291,0.0055702864,0.0024006402,0.013090162
S03871,7.300110459327698,-0.00778622692450881,0,0,0.8265825661829563,0.7235966285894868,0.015357978,0.028661832,0.0052379942,0.014614955
S00090,4.109261929988861,-13.837509155273438,0,0,0.6179770171107738,0.41054040919681434,0.004889567,0.015678383,0.006181536,0.006268665
S02811,6.322878003120422,-2.5595659017562866,0,0,0.8719239032800794,0.8051173387295093,0.03468373,0.024958683,0.012107933,0.008068426
S02809,8.68492841720581,-1.692390888929367,0,0,0.8453276564722767,0.7581969963622586,0.030682566,0.0065181074,0.00477873,0.0074295523
S05649,7.764265537261963,-2.0387043058872223,0,0,0.8207140767671497,0.733137868367481,0.01406882,0.036096614,0.009318295,0.016527422
S01829,4.41893458366394,-9.909773468971252,0,0,0.8115679648021561,0.502595357784273,0.009374809,0.021656087,0.015079946,0.012767992
S02655,10.073366165161133,-1.958702802658081,0,0,0.8254202761671039,0.6618942853657277,0.04288045,0.08690432,0.013796112,0.015772833
S00045,8.71360957622528,-4.609726667404175,0,0,0.7020253840340895,0.6768756891951984,0.0055810004,0.016743619,0.0057934625,0.015537615
S02701,8.736653327941895,-5.853211879730225,0,0,0.8192217037643177,0.6255701077817393,0.00797402,0.005486256,0.0049397266,0.0053565153
S05589,4.334850311279297,-8.485952615737915,0,0,0.7440809207757297,0.5654910226547676,0.006456312,0.013892344,0.0011366127,0.008375204
S04137,4.798650443553925,-9.669926166534424,0,0,0.6628500087896794,0.5586242725977246,0.0075218035,0.015503195,0.0066071856,0.013632067
S01407,-0.8598965406417847,-15.685700178146362,0,0,0.36698999899344653,0.2076802743016698,0.035692938,0.008336363,0.013726174,0.006905328
S00410,-0.30016446486115456,-10.410481691360474,0,0,0.5774590632434142,0.5724155692403818,0.0059123696,0.004505789,0.011460816,0.015471262
S05810,8.652674555778503,-1.529923528432846,0,0,0.9515116589721694,0.9166366685404961,0.008942755,0.015342604,0.018910356,0.027750514
S04624,8.648536205291748,-8.211165070533752,0,0,0.6779564306603931,0.5267158848038982,0.059771873,0.005922351,0.008308832,0.019426672
S01160,10.948474407196045,-0.46617768704891205,0,0,0.8990400471436866,0.7873359862774394,0.008005329,0.0074779475,0.010516549,0.026884472
S00654,9.052605032920837,2.739090919494629,0,0,0.7344222943291877,0.8347446813011825,0.0059052603,0.0099586025,0.004770145,0.0010860349
S02444,8.891123533248901,1.706910878419876,0,0,0.8404089768398002,0.7423838433745878,0.005255955,0.005085278,0.0062618423,0.008393075
S02455,8.484642505645752,0.5804283916950226,0,0,0.7187656462993699,0.6736845737471152,0.0052166935,0.0047880835,0.004147689,0.023593318
S00575,-5.001583099365234,-11.235190629959106,0,0,0.49212599529047285,0.48973320946759263,0.014633995,0.009546791,0.0065934556,0.009581115
S03417,-0.23497125133872032,-12.54910945892334,0,0,0.5754410743671108,0.41374420848197563,0.009742269,0.026189828,0.010650923,0.017289639
S05789,5.57120680809021,-7.878679037094116,0,0,0.7258785994348567,0.41190852534615807,0.0043336637,0.0067936014,0.01856216,0.011203365
S03933,3.3259546756744385,-13.947376012802124,0,0,0.5103324057800348,0.31394818705671934,0.0050266986,0.009188712,0.012417889,0.002185737
S05974,10.494774580001831,0.017505522118881345,0,0,0.8360352966333922,0.7051645409448462,0.006588225,0.014144676,0.0029229985,0.0033602568
S01290,-20.707192420959473,-16.496295928955078,0,0,0.0672475791215774,0.23897413707203294,0.008056207,0.07122099,0.0028515342,0.009585958
S00240,-0.8694969862699509,-13.325825929641724,0,0,0.6448815532073706,0.40926942337788996,0.006404387,0.006257258,0.0050919135,0.006993891
S00094,4.8659586906433105,-8.597301840782166,0,0,0.7206473069729438,0.49861057129384717,0.009786757,0.005149284,0.010250851,0.014323481
S04110,5.617985129356384,-13.323779106140137,0,0,0.763247686308012,0.6245730240905,0.018793233,0.024874954,0.0057759755,0.0064427517
S03127,9.422418475151062,-0.0515328673645854,0,0,0.8949223862171247,0.7972822425479089,0.0075219716,0.005824384,0.008913429,0.014178717
S02043,6.20259165763855,-6.077011227607727,0,0,0.8927152834102412,0.720153628265455,0.012804144,0.0058084233,0.0048134495,0.0044687022
S01682,2.115700989961624,-13.335908651351929,0,0,0.5845978110048906,0.29582814202885743,0.012247155,0.04601776,0.009968205,0.020317724
S05337,6.256048083305359,-6.128442287445068,0,0,0.8572878074313917,0.6417795451004502,0.0052798972,0.011072846,0.004614866,0.0059440043
S03537,5.653321743011475,0.648433268070221,0,0,0.746553306553271,0.8026099823244517,0.0055585564,0.028747607,0.004424622,0.014296343
S05192,9.199711084365845,0.7117529958486557,0,0,0.8537807882351074,0.7739240298800132,0.0068322453,0.006493496,0.0032320356,0.009766247
S01521,-4.844526946544647,-7.705206274986267,0,0,0.5317922136230908,0.5370324019480108,0.007492671,0.013237426,0.0021685013,0.013401397
S00975,1.4297032356262207,-10.107204914093018,0,0,0.6608793459618387,0.5375637289779528,0.0039697513,0.0069248388,0.0031674535,0.012068199
S02010,3.779364824295044,-5.641834735870361,0,0,0.7022356986591456,0.510108622977989,0.0057358816,0.011549326,0.0046657585,0.0133223375
S05516,8.31593632698059,-6.676878333091736,0,0,0.7981512380611504,0.4512195647154074,0.0045856074,0.039770372,0.0028742412,0.007666075
S03436,2.021070718765259,-11.585593223571777,0,0,0.7291020915135118,0.41092258658365954,0.008374722,0.0065074884,0.004601732,0.009798006
