scene,sisdr_enhance,sisdr_mixture,pesq_enhance,pesq_mixture,stoi_enhance,stoi_mixture,haspi_enhance,haspi_mixture,hasqi_enhance,hasqi_mixture
p277,5.758779048919678,-1.2275291979312897,0,0,0.6696400445095235,0.8251727074456137,0,0,0,0
p313,-11.103895902633667,8.172217011451721,0,0,0.4378783006390029,0.8303716543368033,0,0,0,0
p278,-4.361826181411743,3.6198458075523376,0,0,0.3181935221337333,0.7821885563672106,0,0,0,0
p269,-10.159450769424438,13.524103164672852,0,0,0.3712077903511846,0.9272568202970236,0,0,0,0
p243,4.266617298126221,2.487798184156418,0,0,0.6179408767228505,0.8181055289119029,0,0,0,0
p239,2.880503833293915,3.7659013271331787,0,0,0.6472903162082245,0.7778589630124353,0,0,0,0
p314,-6.073101758956909,14.148197174072266,0,0,0.3312654693496165,0.9255840346305048,0,0,0,0
p269,-5.849270820617676,14.167578220367432,0,0,0.42761336146506096,0.9132212797284757,0,0,0,0
p263,-4.086592495441437,3.162335157394409,0,0,0.6248372746231101,0.8458493919798629,0,0,0,0
p264,0.056431288830935955,7.662052512168884,0,0,0.522623393038237,0.6696032552923591,0,0,0,0
p281,-3.6169734597206116,13.869173526763916,0,0,0.7116436502789909,0.8856040375327554,0,0,0,0
p269,-10.406811237335205,-0.88107630610466,0,0,0.25366424966262,0.6378478741535726,0,0,0,0
p230,0.6658629328012466,14.097752571105957,0,0,0.6897816576278306,0.9083912801811677,0,0,0,0
p228,-2.1549156308174133,-2.643839120864868,0,0,0.42437392281274483,0.566611640502695,0,0,0,0
p299,-0.9405522793531418,-2.216600179672241,0,0,0.5476464569419648,0.9785338521017908,0,0,0,0
p268,-11.26746416091919,14.371761083602905,0,0,0.3965769925419915,0.954201482123892,0,0,0,0
p263,0.9149010479450226,14.120367765426636,0,0,0.6820053334798486,0.954168673631347,0,0,0,0
p230,0.35781994462013245,13.389451503753662,0,0,0.6547755387352128,0.8188139185980492,0,0,0,0
p293,-11.508523225784302,6.934332251548767,0,0,0.3991035161466728,0.8923539061750643,0,0,0,0
p333,-6.055698990821838,4.270307719707489,0,0,0.444318832756006,0.7732336757691466,0,0,0,0
p255,-0.34136995673179626,8.819002509117126,0,0,0.5617383989327807,0.8891680429224117,0,0,0,0
