scene,sisdr_enhance,sisdr_mixture,pesq_enhance,pesq_mixture,stoi_enhance,stoi_mixture,haspi_enhance,haspi_mixture,hasqi_enhance,hasqi_mixture
S02455,2.049442231655121,0.5804283916950226,0,0,0.4854164728804689,0.6736845737471152,0.0046835076,0.0047044214,0.010154517,0.023979438
S05981,-1.5085376799106598,-10.233198404312134,0,0,0.628824982868246,0.49680563267082295,0.005247459,0.018993609,0.0017035182,0.008053553
S01033,2.2027216851711273,-0.45664552599191666,0,0,0.8084025191804279,0.7997455637314361,0.009537976,0.008718681,0.009244203,0.029105248
S05962,1.3131557404994965,2.2176268696784973,0,0,0.7069356890677948,0.7411870620906167,0.0057092262,0.006541966,0.0013898631,0.017072093
S04492,0.378052294254303,-12.077028751373291,0,0,0.6983763049713873,0.5429213399955577,0.00555487,0.026805704,0.0013136987,0.003934723
S04110,-4.194214046001434,-13.323779106140137,0,0,0.6131433780808532,0.6245730240905,0.025080778,0.014773013,0.004995379,0.018737305
S05192,-1.8072177469730377,0.7117529958486557,0,0,0.6613518344687179,0.7739240298800132,0.0058817007,0.008865052,0.0066501275,0.011380992
S00094,1.8202570080757141,-8.597301840782166,0,0,0.5738752011380863,0.49861057129384717,0.0060081333,0.005180417,0.007613688,0.014337274
S05337,-3.9028513431549072,-6.128442287445068,0,0,0.7294326627593473,0.6417795451004502,0.007478565,0.006162981,0.008917606,0.015187445
S03603,2.275668680667877,2.422693967819214,0,0,0.7598158156784274,0.7585477257914445,0.0065030702,0.023868125,0.003349954,0.014377343
S01829,-0.5538774281740189,-9.909773468971252,0,0,0.7486890496979621,0.502595357784273,0.023624947,0.018424952,0.007971131,0.0036622263
S00797,0.69526307284832,-9.06509518623352,0,0,0.5424563884122396,0.4200731055983531,0.01336926,0.010425018,0.0023417906,0.01405544
S00654,-1.835363656282425,2.739090919494629,0,0,0.6939811334407089,0.8347446813011825,0.007087119,0.007365087,0.004426589,0.004639646
S04137,-1.9221588969230652,-9.669926166534424,0,0,0.6013730567567788,0.5586242725977246,0.0047723805,0.0155673595,0.003760243,0.01363175
S03442,3.0220910906791687,-12.517383098602295,0,0,0.5896540758493931,0.5253553784872137,0.01019008,0.030567354,0.004850926,0.00905624
S02701,-0.6364629417657852,-5.853211879730225,0,0,0.5169631792041908,0.6255701077817393,0.005542422,0.004125336,0.003474241,0.0027254035
S00975,-3.5992124676704407,-10.107204914093018,0,0,0.6116221317398343,0.5375637289779528,0.007974981,0.0042544273,0.012176839,0.009079471
S03933,0.11173760518431664,-13.947376012802124,0,0,0.4258629126086064,0.31394818705671934,0.004866955,0.007390895,0.008429865,0.0069545642
S01181,2.286478877067566,-3.1442031264305115,0,0,0.6601256688761974,0.5575052611959536,0.0045088655,0.0048276004,0.0013684361,0.006202378
S03436,-0.4724128916859627,-11.585593223571777,0,0,0.7125538190132596,0.41092258658365954,0.0059940587,0.0057729282,0.010820138,0.0031197842
S00045,-4.084091782569885,-4.609726667404175,0,0,0.5025259129402793,0.6768756891951984,0.008457781,0.02764077,0.006915297,0.025802162
