scene,sisdr_enhance,sisdr_mixture,pesq_enhance,pesq_mixture,stoi_enhance,stoi_mixture,haspi_enhance,haspi_mixture,hasqi_enhance,hasqi_mixture
S02455,7.331394553184509,0.5804283916950226,0,0,0.631037671671072,0.6736845737471152,0.008767551,0.0047044214,0.009347702,0.023979438
S05981,-1.7352336645126343,-10.233198404312134,0,0,0.565785866674235,0.49680563267082295,0.004606173,0.018993609,0.0019638927,0.008053553
S01033,5.931190252304077,-0.45664552599191666,0,0,0.8674673351516042,0.7997455637314361,0.015143048,0.008718681,0.023302598,0.029105248
S05962,7.886938452720642,2.2176268696784973,0,0,0.7930359936807051,0.7411870620906167,0.0049023055,0.006541966,0.0024560415,0.017072093
S04492,3.7509673833847046,-12.077028751373291,0,0,0.6846998859055852,0.5429213399955577,0.0050968784,0.026805704,0.0031733185,0.003934723
S04110,3.3204907178878784,-13.323779106140137,0,0,0.6913446167677739,0.6245730240905,0.014522515,0.014773013,0.00720985,0.018737305
S05192,7.378482818603516,0.7117529958486557,0,0,0.8089462134490977,0.7739240298800132,0.006196681,0.008865052,0.0068480563,0.011380992
S00094,2.803596556186676,-8.597301840782166,0,0,0.6053219071976317,0.49861057129384717,0.007987338,0.005180417,0.0069139595,0.014337274
S05337,5.274068117141724,-6.128442287445068,0,0,0.8097819141214506,0.6417795451004502,0.013590377,0.006162981,0.009347857,0.015187445
S03603,11.52489423751831,2.422693967819214,0,0,0.8254199091908109,0.7585477257914445,0.007196864,0.023868125,0.0049376776,0.014377343
S01829,1.324816346168518,-9.909773468971252,0,0,0.7139453944317078,0.502595357784273,0.009053517,0.018424952,0.008373609,0.0036622263
S00797,4.648581147193909,-9.06509518623352,0,0,0.5784590986602185,0.4200731055983531,0.019110143,0.010425018,0.0012260342,0.01405544
S00654,9.059074521064758,2.739090919494629,0,0,0.8113285108183343,0.8347446813011825,0.0072884173,0.007365087,0.002830945,0.004639646
S04137,2.793641984462738,-9.669926166534424,0,0,0.599399043899109,0.5586242725977246,0.011301304,0.0155673595,0.009065914,0.01363175
S03442,4.148539900779724,-12.517383098602295,0,0,0.6585757524597556,0.5253553784872137,0.006065255,0.030567354,0.009849913,0.00905624
S02701,4.43273663520813,-5.853211879730225,0,0,0.6374833837121557,0.6255701077817393,0.0045175925,0.004125336,0.008073385,0.0027254035
S00975,-1.4698897302150726,-10.107204914093018,0,0,0.6422359791973618,0.5375637289779528,0.0049957605,0.0042544273,0.008026347,0.009079471
