scene,sisdr_enhance,sisdr_mixture,pesq_enhance,pesq_mixture,stoi_enhance,stoi_mixture,haspi_enhance,haspi_mixture,hasqi_enhance,hasqi_mixture
S02455,7.3243248462677,0.5804283916950226,0,0,0.6139332057541182,0.6736845737471152,0.02713878,0.0047044214,0.010316448,0.023979438
S05981,1.84501513838768,-10.233198404312134,0,0,0.6128007646260715,0.49680563267082295,0.00613868,0.018993609,0.002470628,0.008053553
S01033,5.80649733543396,-0.45664552599191666,0,0,0.8458313801234343,0.7997455637314361,0.032331698,0.008718681,0.017177805,0.029105248
S05962,8.544684648513794,2.2176268696784973,0,0,0.7815424883993163,0.7411870620906167,0.0047017103,0.006541966,0.002883429,0.017072093
S04492,1.0980571806430817,-12.077028751373291,0,0,0.6916342745168674,0.5429213399955577,0.004328901,0.026805704,0.0025327692,0.003934723
S04110,2.325439602136612,-13.323779106140137,0,0,0.6235000596664984,0.6245730240905,0.0061744917,0.014773013,0.0047464045,0.018737305
S05192,7.504397630691528,0.7117529958486557,0,0,0.8047812254010929,0.7739240298800132,0.009055448,0.008865052,0.0056231134,0.011380992
S00094,3.035747706890106,-8.597301840782166,0,0,0.6106223005842899,0.49861057129384717,0.00622765,0.005180417,0.0058625797,0.014337274
S05337,2.9014796018600464,-6.128442287445068,0,0,0.810536604916398,0.6417795451004502,0.0041099973,0.006162981,0.009381593,0.015187445
S03603,10.819380283355713,2.422693967819214,0,0,0.7629243603769076,0.7585477257914445,0.005847118,0.023868125,0.004418063,0.014377343
S01829,1.8909211456775665,-9.909773468971252,0,0,0.7267572892717413,0.502595357784273,0.025344947,0.018424952,0.016998975,0.0036622263
S00797,5.318593978881836,-9.06509518623352,0,0,0.631284320833813,0.4200731055983531,0.024946919,0.010425018,0.0030287136,0.01405544
S00654,8.955079317092896,2.739090919494629,0,0,0.7784575079498954,0.8347446813011825,0.006197908,0.007365087,0.0037983381,0.004639646
S04137,2.8946292400360107,-9.669926166534424,0,0,0.6033147979380837,0.5586242725977246,0.01609299,0.0155673595,0.0027241244,0.01363175
S03442,5.563848614692688,-12.517383098602295,0,0,0.6590011445910788,0.5253553784872137,0.019788377,0.030567354,0.010227583,0.00905624
S02701,4.739607572555542,-5.853211879730225,0,0,0.6198889520095237,0.6255701077817393,0.0043112687,0.004125336,0.0069375387,0.0027254035
S00975,-1.498677134513855,-10.107204914093018,0,0,0.621061505306576,0.5375637289779528,0.004755124,0.0042544273,0.007388,0.009079471
S03933,-0.38551993668079376,-13.947376012802124,0,0,0.3343570270509224,0.31394818705671934,0.0049632983,0.007390895,0.006923283,0.0069545642
S01181,5.998363494873047,-3.1442031264305115,0,0,0.6608535369666018,0.5575052611959536,0.004592794,0.0048276004,0.0014110759,0.006202378
S03436,-2.763541340827942,-11.585593223571777,0,0,0.7051265119355659,0.41092258658365954,0.008865668,0.0057729282,0.0056297807,0.0031197842
S00045,7.8246307373046875,-4.609726667404175,0,0,0.6912825339089488,0.6768756891951984,0.004353678,0.02764077,0.012355164,0.025802162
S05589,1.9306474924087524,-8.485952615737915,0,0,0.6637561257565625,0.5654910226547676,0.007648652,0.010347013,0.0038982178,0.0042281384
S00090,1.3866057991981506,-13.837509155273438,0,0,0.57228155888994,0.41054040919681434,0.0049098446,0.033064492,0.0064434474,0.00914563
S05789,3.272930383682251,-7.878679037094116,0,0,0.6533712169515501,0.41190852534615807,0.007339834,0.0070170416,0.005232437,0.018045811
S02551,6.82700514793396,-5.010111331939697,0,0,0.7177402520725178,0.6669039936327694,0.0044241096,0.017064925,0.007969428,0.013735933
S05649,4.100906550884247,-2.0387043058872223,0,0,0.7385368693906071,0.733137868367481,0.012069393,0.0048678163,0.0057593165,0.022648415
S00240,-2.4421426653862,-13.325825929641724,0,0,0.5807568428261903,0.40926942337788996,0.011250288,0.005834658,0.009333423,0.005334806
S04830,3.699784278869629,-4.467536807060242,0,0,0.7438444125756793,0.5854686692442608,0.02489459,0.012274227,0.0047365,0.020886503
S02043,5.511385202407837,-6.077011227607727,0,0,0.8493282485720419,0.720153628265455,0.0058109765,0.007983211,0.0044305157,0.0061841314
S02010,1.1633992940187454,-5.641834735870361,0,0,0.6290092774060163,0.510108622977989,0.005175682,0.011267897,0.0038917288,0.010625838
S01950,-5.161200761795044,-12.997634410858154,0,0,0.26692400121569304,0.39313316144855126,0.0077666794,0.0063623814,0.011118637,0.0043344474
S03871,6.749013066291809,-0.00778622692450881,0,0,0.8167746290133948,0.7235966285894868,0.02142046,0.019398194,0.0052525443,0.0133210225
S01367,2.4180184304714203,-4.993078112602234,0,0,0.7121314358480484,0.6528191168701748,0.0066063255,0.005669992,0.0055878772,0.0043620146
S01345,-0.6218948215246201,-8.842202425003052,0,0,0.6617708106817091,0.6396197427204882,0.0072492165,0.006425902,0.0054164687,0.006660215
S00631,-12.774749994277954,-17.079145908355713,0,0,0.3515952984071662,0.24265417901451308,0.004984021,0.014186387,0.014739095,0.035023782
S02103,0.5350898951292038,-11.32217288017273,0,0,0.623033276212446,0.5517577786078673,0.00806562,0.005335041,0.00388881,0.013111469
S01682,-6.643422842025757,-13.335908651351929,0,0,0.2731146105256914,0.29582814202885743,0.0045538093,0.032230273,0.004222156,0.01632555
S05321,8.025282621383667,-0.9502478688955307,0,0,0.8349852405588472,0.7257945666314112,0.0070028566,0.006218205,0.005572317,0.025345221
S03537,6.890807151794434,0.648433268070221,0,0,0.8052968437182235,0.8026099823244517,0.00528412,0.032048002,0.003193288,0.012129984
S05516,7.044481635093689,-6.676878333091736,0,0,0.7973736739422277,0.4512195647154074,0.004624208,0.008126893,0.0015403666,0.0054286807
S02809,7.167841196060181,-1.692390888929367,0,0,0.8084937404937751,0.7581969963622586,0.03657393,0.027211795,0.008554269,0.0232419
S01160,9.636034965515137,-0.46617768704891205,0,0,0.8768834108126226,0.7873359862774394,0.005840186,0.006430054,0.008578678,0.012221608
S03417,-2.096327990293503,-12.54910945892334,0,0,0.46188764895800394,0.41374420848197563,0.021475745,0.006548634,0.003855756,0.004874155
S05974,8.431751132011414,0.017505522118881345,0,0,0.7677275212315743,0.7051645409448462,0.0069644675,0.0064869495,0.003151832,0.003916193
S02811,5.578275918960571,-2.5595659017562866,0,0,0.8603030061186672,0.8051173387295093,0.066408604,0.022899194,0.012537441,0.011990652
S02655,8.213943839073181,-1.958702802658081,0,0,0.7634399808283221,0.6618942853657277,0.067578666,0.018723601,0.008731479,0.01952286
S04453,-1.5027305483818054,-11.169191598892212,0,0,0.6473708257037448,0.6116483202114094,0.020895295,0.034352243,0.0107698,0.024082249
S01407,-1.668132096529007,-15.685700178146362,0,0,0.3852600878091709,0.2076802743016698,0.008425205,0.005696822,0.00893634,0.008149082
S04174,2.778535783290863,-4.76933091878891,0,0,0.6725938008033496,0.6612153256390763,0.010138687,0.011200682,0.0020913016,0.010375022
S01455,5.081733465194702,-4.556347131729126,0,0,0.8394010685841211,0.7737373982157014,0.004776978,0.008463486,0.0024338693,0.0060523427
S05810,7.305970191955566,-1.529923528432846,0,0,0.9296654910598385,0.9166366685404961,0.012879065,0.060883515,0.018300304,0.0105562955
S03127,8.189250826835632,-0.0515328673645854,0,0,0.8514759763965176,0.7972822425479089,0.010098293,0.04569324,0.011941702,0.029399658
S00410,-1.4666500687599182,-10.410481691360474,0,0,0.5041739780412348,0.5724155692403818,0.00951478,0.0045523094,0.011498243,0.006187942
S00284,-1.5533548593521118,-13.584399223327637,0,0,0.6223579968596722,0.5192835763423236,0.024256492,0.01871719,0.010280691,0.002980368
S01098,4.660884439945221,-7.044732570648193,0,0,0.7769627417287774,0.4915922790981407,0.010082613,0.031973884,0.0040737875,0.009935171
S00575,-2.943020761013031,-11.235190629959106,0,0,0.518662497460055,0.48973320946759263,0.010885504,0.010024175,0.019822704,0.012897516
S01521,-2.02027827501297,-7.705206274986267,0,0,0.5641737218317979,0.5370324019480108,0.016658476,0.094862714,0.008420751,0.015591169
S02444,7.89155900478363,1.706910878419876,0,0,0.8356656475567579,0.7423838433745878,0.0044546267,0.0041243886,0.004575354,0.008612553
S04624,4.472529292106628,-8.211165070533752,0,0,0.6268219323904556,0.5267158848038982,0.03216398,0.0055076284,0.019108737,0.011846796
S01290,-17.308249473571777,-16.496295928955078,0,0,0.12939500863115272,0.23897413707203294,0.0073817754,0.040641684,0.013853703,0.0127088595
