scene,sisdr_enhance,sisdr_mixture,pesq_enhance,pesq_mixture,stoi_enhance,stoi_mixture,haspi_enhance,haspi_mixture,hasqi_enhance,hasqi_mixture
S02455,7.046300172805786,0.5804283916950226,0,0,0.6568668587490536,0.6736845737471152,0.020281767,0.0047044214,0.011176642,0.023979438
S05981,-1.3045184314250946,-10.233198404312134,0,0,0.5762431596456172,0.49680563267082295,0.007166049,0.018993609,0.0033642927,0.008053553
S01033,5.308998227119446,-0.45664552599191666,0,0,0.8505555115833585,0.7997455637314361,0.015555852,0.008718681,0.0218777,0.029105248
S05962,6.847372055053711,2.2176268696784973,0,0,0.7959066088099929,0.7411870620906167,0.0069120363,0.006541966,0.0026081637,0.017072093
S04492,2.319803684949875,-12.077028751373291,0,0,0.6791814522712079,0.5429213399955577,0.009032943,0.026805704,0.009196049,0.003934723
S04110,0.20639607682824135,-13.323779106140137,0,0,0.6328432590881511,0.6245730240905,0.0056688148,0.014773013,0.004705562,0.018737305
S05192,7.210865616798401,0.7117529958486557,0,0,0.8019312478679876,0.7739240298800132,0.0053765224,0.008865052,0.008265093,0.011380992
S00094,2.1040676534175873,-8.597301840782166,0,0,0.593758011707092,0.49861057129384717,0.011719473,0.005180417,0.005743463,0.014337274
S05337,4.665323793888092,-6.128442287445068,0,0,0.7831241079011338,0.6417795451004502,0.008580799,0.006162981,0.009390555,0.015187445
S03603,10.812920331954956,2.422693967819214,0,0,0.8091010383244619,0.7585477257914445,0.009213647,0.023868125,0.0031521432,0.014377343
S01829,1.4315858483314514,-9.909773468971252,0,0,0.7109815112645622,0.502595357784273,0.013183188,0.018424952,0.023913125,0.0036622263
S00797,4.389840364456177,-9.06509518623352,0,0,0.5890822532014366,0.4200731055983531,0.012770915,0.010425018,0.0022459407,0.01405544
S00654,9.198736548423767,2.739090919494629,0,0,0.8433524044693286,0.8347446813011825,0.0050418577,0.007365087,0.0041122194,0.004639646
S04137,2.3814961314201355,-9.669926166534424,0,0,0.5863675135124785,0.5586242725977246,0.005634125,0.0155673595,0.0011258172,0.01363175
S03442,3.8696417212486267,-12.517383098602295,0,0,0.6443249484531066,0.5253553784872137,0.0093231,0.030567354,0.006409082,0.00905624
S02701,4.367998242378235,-5.853211879730225,0,0,0.6395612715428672,0.6255701077817393,0.0052627297,0.004125336,0.0101689985,0.0027254035
S00975,-1.3011902570724487,-10.107204914093018,0,0,0.6502947431449151,0.5375637289779528,0.00420046,0.0042544273,0.008958708,0.009079471
S03933,-1.041174754500389,-13.947376012802124,0,0,0.4347040586558754,0.31394818705671934,0.0058473605,0.007390895,0.0071496386,0.0069545642
S01181,5.074999928474426,-3.1442031264305115,0,0,0.6550891180768441,0.5575052611959536,0.0051222765,0.0048276004,0.0013963315,0.006202378
S03436,-2.683744430541992,-11.585593223571777,0,0,0.6590477653216005,0.41092258658365954,0.012960207,0.0057729282,0.019482907,0.0031197842
S00045,7.8709447383880615,-4.609726667404175,0,0,0.7164220114990532,0.6768756891951984,0.0071130763,0.02764077,0.01475746,0.025802162
S05589,1.5424269437789917,-8.485952615737915,0,0,0.6698369299200577,0.5654910226547676,0.005615185,0.010347013,0.0045780316,0.0042281384
S00090,1.1761683225631714,-13.837509155273438,0,0,0.5109013482007214,0.41054040919681434,0.0070217885,0.033064492,0.006154126,0.00914563
S05789,3.003796935081482,-7.878679037094116,0,0,0.5942670614359393,0.41190852534615807,0.02091761,0.0070170416,0.013230022,0.018045811
